"Temps","N˚","Code","Min","Début","Fin"
"40:00","6","TRE","2","40:00","40:45"
"47:44","6","TRE","2","47:44","49:44"
"50:00","88","ACC","2","50:00","50:00"
"50:00","24","MEC","10","50:00","50:00"
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"Temps Mort","1/2: 13:26 
2/2: 42:55","","","",""
"Gardien","Temps
N˚
Temps
N˚
Temps
N˚
00:00
14","","","",""
